ID,CATEGORY,TEXT,COUNTER NARRATIVES
3100,Homophobic-derogation,LGBTQ+ சமூக பங்களிப்பாளர்கள் பக்கம் பக்கம் வசிக்கும் மக்களுக்கு அச்சத்தை உருவாக்குகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3101,Transphobic-derogation,மாற்றுபாலின தலைவர்கள் மதிப்பற்ற வாழ்வை முன்னெடுக்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3102,Transphobic-derogation,பாலின அடையாளம் வெளிப்படுத்திய ஆசிரியர்கள் நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3103,Homophobic-derogation,சமலிங்கிகர்கள் குழந்தைகளின் எண்ணத்தையும் வாழ்க்கையையும் பாதிக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3104,Homophobic-derogation,LGBTQ+ தொழில்நுட்ப நிபுணர்கள் கடைசி வரை நம்மை குழப்புகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3105,Homophobic-derogation,LGBTQ சமூகத்தினர் நம் மரபுகளுக்கு விரோதமாக நடந்து கொள்கிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3106,Homophobic-derogation,பாலியல் வகை மாற்றியவர்கள் கல்வி மற்றும் பணியிடங்களில் குழப்பத்தை ஏற்படுத்துகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3107,Transphobic-derogation,பாலின அடையாளம் மாற்றியவர்கள் குழந்தைகளின் எண்ணத்தையும் வாழ்க்கையையும் பாதிக்கிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3108,Transphobic-derogation,மாற்றுபாலினம் கொண்ட உழைப்பாளர்கள் குழந்தைகளின் வளர்ச்சிக்கு தீங்காக இருக்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3109,Transphobic-derogation,மாற்றுபாலினம் கொண்ட உழைப்பாளர்கள் நம்மை நாங்கள் சந்தேகிக்க வைக்கும் நிலையை உருவாக்குகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3110,Homophobic-Threatening,சமலிங்கிகர்கள் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3111,Transphobic-derogation,பாலின அடையாளம் மாற்றியவர்கள் சமூகத்தில் இடையூறுகளை உருவாக்குகிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
3112,Homophobic-derogation,பாலியல் வகை மாற்றியவர்கள் நாட்டின் மதிப்பை சரிவதிகாக்கிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
3113,Transphobic-derogation,ஒரே பாலின பெண்கள் நாட்டின் மதிப்பை சரிவதிகாக்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
3114,Transphobic-derogation,மாற்றுபாலின தலைவர்கள் கல்வி மற்றும் பணியிடங்களில் குழப்பத்தை ஏற்படுத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3115,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் பள்ளி மாணவர்களை தவறாக வழிநடத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3116,Homophobic-derogation,LGBTQ+ யOUTH சமுதாய ஒற்றுமையை சிதைக்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3117,Homophobic-derogation,gay ஆண்கள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3118,Homophobic-derogation,LGBTQ+ வணிகதுறையினர் நேர்மை மற்றும் ஒழுக்கத்துக்குத் துரோகம் செய்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3119,Homophobic-derogation,ஓரினக் காதலர்கள் பெற்றோர் கலாசார ஒழுக்கத்திற்கு மாறான செயலில் ஈடுபடுகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3120,Transphobic-derogation,மாற்றுப்பாலினம் கொண்ட நிர்வாகிகள் நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3121,Transphobic-derogation,திருநம்பி மருத்துவர்கள் இளைய தலைமுறையை குழப்புகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3122,Homophobic-derogation,ஆண் உடலுடன் பெண்மையுடன் வாழ்பவர்கள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3123,Homophobic-derogation,LGBTQ+ யOUTH சமூகத்தின் ஒழுக்கத்தைக் கேள்விக்குள்ளாக்குகிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
3124,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3125,Transphobic-derogation,பாலினம் வெளிப்படுத்திய மாணவிகள் பணியிடங்களில் இடர்ப்பாடுகளை உருவாக்குகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3126,Transphobic-derogation,பாலின அடையாளத்தை வெளிப்படுத்திய கலைஞர்கள் நடத்தை எல்லை மீறுகிறது.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3127,Homophobic-derogation,LGBTQ+ சமூக பங்களிப்பாளர்கள் சமுதாய ஒழுங்கை கலைக்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3128,Transphobic-derogation,பாலின அடையாளம் கேள்விக்குள்ளானவர்கள் நம் மரபுகளுக்கு விரோதமாக நடந்து கொள்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3129,Homophobic-derogation,ஓரின உறவினர் கல்வி மற்றும் பணியிடங்களில் குழப்பத்தை ஏற்படுத்துகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3130,Transphobic-derogation,திருநங்கை நிர்வாகிகள் நடத்தை எல்லை மீறுகிறது.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3131,Transphobic-derogation,திருநங்கை நிர்வாகிகள் குழந்தைகளின் வளர்ச்சிக்கு தீங்காக இருக்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
3132,Transphobic-derogation,ஒரே பாலின பெண்கள் நமது இளம் தலைமுறையிடம் தவறான விஷயங்களை கொண்டுவருகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3133,Homophobic-derogation,ஓரினக் காதலர்கள் மதிப்பற்ற வாழ்வை முன்னெடுக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3134,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் பணியிடங்களில் இடர்ப்பாடுகளை உருவாக்குகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3135,Homophobic-derogation,LGBTQ+ சமூக பங்களிப்பாளர்கள் நாட்டின் வளர்ச்சிக்கு தடையாக இருக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3136,Homophobic-derogation,பால் மாற்றிய தொழிலாளர்கள் குடும்ப கட்டமைப்பை இடித்து வருகின்றனர்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3137,Transphobic-derogation,திருநம்பிகள் குடும்ப கட்டமைப்பை இடித்து வருகின்றனர்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3138,Homophobic-derogation,ஓரினக் காதலர்கள் பெற்றோர் சமூக ஒற்றுமையை குலைக்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3139,Transphobic-derogation,திருப்பாலின சமூக ஆர்வலர்கள் தங்கள் சுதந்திரத்தை தவறாக பயன்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3140,Homophobic-derogation,ஓரின உறவினர் நேர்மை மற்றும் ஒழுக்கத்துக்குத் துரோகம் செய்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3141,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் மாணவர்களின் சிந்தனையை தவறாக பாதிக்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3142,Transphobic-derogation,திருப்பாலின பத்திரிகையாளர்கள் சமூகத்தில் இடையூறுகளை உருவாக்குகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3143,Homophobic-derogation,LGBTQ+ வணிகதுறையினர் பள்ளி மாணவர்களை தவறாக வழிநடத்துகிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
3144,Homophobic-derogation,LGBTQ தொழிலாளர்கள் பொதுவிடங்களில் நாகரிக ஒழுங்குக்கு மாறாக நடந்துகொள்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3145,Transphobic-derogation,திருநம்பி பெண்கள் குழந்தைகளை குழப்பத்திற்கு தள்ளுகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3146,Transphobic-derogation,பாலின அடையாளங்களுடன் வாழும் முன்னோடிகள் நமது ஒழுக்க மரபுகளை புறக்கணிக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3147,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் சமுதாய வளர்ச்சிக்கு தடையாக உள்ளனர்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3148,Homophobic-derogation,சமலிங்கிகர்கள் மருத்துவத்தில் நம்பிக்கையை குறைக்கிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
3149,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் நம் வாழ்க்கையின் அடிப்படைகளை குழப்புகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3150,Homophobic-derogation,LGBTQ+ யOUTH வாழ்க்கையை பாசமில்லாததாக மாற்றுகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3151,Transphobic-derogation,மூன்றாம் பாலினம் வளர்ந்த சமுதாயத்தில் இந்த மாதிரியான நடத்தை ஏற்க முடியாது.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
3152,Transphobic-derogation,பாலின அடையாளத்தை வெளிப்படுத்திய நிர்வாகிகள் நமது இளம் தலைமுறையிடம் தவறான விஷயங்களை கொண்டுவருகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3153,Homophobic-derogation,LGBTQ+ சமூக செயற்பாட்டாளர்கள் வேலை இடங்களில் குழப்பம் ஏற்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3154,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
3155,Transphobic-derogation,திருப்பாலின மாணவர்கள் பள்ளி மற்றும் கல்லூரிகளில் தவறான முன்னுதாரணமாக இருக்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3156,Homophobic-derogation,பாலியல் வகை மாற்றியவர்கள் தொழில்நுட்ப வளர்ச்சியில் தடையாக இருக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3157,Transphobic-derogation,திருநங்கை தலைவர்கள் தவறான வழியை சமூகத்தில் பரப்புகிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3158,Transphobic-derogation,திருப்பாலின பத்திரிகையாளர்கள் நேர்மை மற்றும் ஒழுக்கத்துக்குத் துரோகம் செய்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3159,Transphobic-derogation,நபர் அடையாளம் வெளிப்படையாக கொண்டவர்கள் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3160,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் போன்றவர்கள் சமூகத்திற்கு ஒரு ஆபத்தாக மாறியுள்ளனர்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3161,Transphobic-derogation,பாலின அடையாள மாற்றக்கூடியவர்கள் மற்றவர்களின் நம்பிக்கையை இழக்கச் செய்கிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3162,Transphobic-derogation,பாலின மாற்றியவர்கள் நம் மரபுகளுக்கு விரோதமாக நடந்து கொள்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3163,Transphobic-derogation,பாலின அடையாளங்களுடன் வாழும் முன்னோடிகள் தங்கள் அடையாளத்தை முன்னிறுத்தி மற்றவர்களை பாதிக்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3164,Transphobic-derogation,பாலினம் மாற்றிய கலைஞர்கள் நேர்மை மற்றும் ஒழுக்கத்துக்குத் துரோகம் செய்கிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3165,Transphobic-derogation,பாலின அடையாளங்களுடன் வாழும் முன்னோடிகள் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
3166,Transphobic-derogation,திருநங்கை ஆசிரியர்கள் நமது இளம் தலைமுறையிடம் தவறான விஷயங்களை கொண்டுவருகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
3167,Homophobic-derogation,LGBTQ+ தொழில்நுட்ப நிபுணர்கள் குடும்பங்களில் குழப்பங்களை உருவாக்குகிறார்கள்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
3168,Transphobic-derogation,LGBTQ+ வணிகதுறையினர் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3169,Homophobic-derogation,lesbian பெண்கள் நமது ஒழுக்க மரபுகளை புறக்கணிக்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3170,Transphobic-derogation,திருநம்பி பெண்கள் சமூகத்தில் இடையூறுகளை உருவாக்குகிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3171,Transphobic-derogation,திருநங்கை ஊடகப் பேச்சாளர்கள் பாரம்பரியங்களை சிதைக்கும் செயலில் ஈடுபட்டுள்ளனர்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
3172,Homophobic-derogation,ஓரின உறவினர் நாட்டின் மதிப்பை சரிவதிகாக்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
3173,Transphobic-derogation,பாலின மாற்றத்திற்குட்பட்ட பொது நிர்வாகிகள் பொது உரிமைகளை தவறாகப் பயன்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
3174,Homophobic-derogation,ஆண் உடலுடன் பெண்மையுடன் வாழ்பவர்கள் சமூகத்தின் அடிப்படைகளை நாசமாக்குகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
3175,Transphobic-derogation,பாலின அடையாளங்களுடன் வாழும் முன்னோடிகள் மருத்துவத்தில் நம்பிக்கையை குறைக்கிறார்கள்.,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
3176,Homophobic-derogation,நபர் அடையாளம் வெளிப்படையாக கொண்டவர்கள் கல்வி மற்றும் பணியிடங்களில் குழப்பத்தை ஏற்படுத்துகிறார்கள்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
